Date,FS_oil,MACD_oil_1_2_3,MACD_T_1_2_3,MACD_T_2_3_4,BIAS_T_2_03,Butadiene
12/17/2010,14.600000000000023,-3.502591743781977,-3.502591743781977,0.4939258069569519,0.0,2050
12/24/2010,30.05000000000001,-5.03729422689679,-5.03729422689679,1.218390937328735,0.0024330900243309003,2060
12/31/2010,9.599999999999966,-8.622313231783664,-8.622313231783664,0.16955228897455754,0.0,2060
1/7/2011,9.600000000000023,-7.9457119886702685,-7.9457119886702685,-0.17900976332663276,0.0,2060
1/14/2011,15.450000000000045,-6.784374451927988,-6.784374451927988,0.044723573648354886,0.00842358604091456,2095
1/21/2011,17.34999999999991,-6.9043600451616385,-6.9043600451616385,0.19789886001115065,0.023310023310023312,2195
1/28/2011,1.3500000000000227,-7.514570962313428,-7.514570962313428,-0.5957283260822237,0.01348314606741573,2255
2/4/2011,12.399999999999977,-5.336415794400978,-5.336415794400978,-0.16217081669378786,0.007700770077007701,2290
2/11/2011,12.400000000000091,-5.261251334948497,-5.261251334948497,3.305994615061536E-4,0.007583965330444204,2325
2/18/2011,5.949999999999932,-5.561640146723676,-5.561640146723676,-0.27348509558424894,0.038262668045501554,2510
2/25/2011,-36.89999999999998,-4.7494915664450446,-4.7494915664450446,-2.4434327849810416,0.01761252446183953,2600
3/4/2011,-19.549999999999955,3.1190303857497383,3.1190303857497383,-1.738230534803904,0.0,2600
3/11/2011,-65.50000000000006,6.649107249199005,6.649107249199005,-3.4765237527900297,0.0,2600
3/18/2011,-2.4499999999999886,15.937750976707491,15.937750976707491,-0.15020696762780972,0.0019193857965451055,2610
3/25/2011,60.10000000000002,12.581607939056425,12.581607939056425,4.00522946144639,0.027932960893854747,2760
4/1/2011,-2.650000000000034,-2.188285213570907,-2.188285213570907,1.3133144978793894,0.0,2760
4/8/2011,15.750000000000057,-3.4788390011518118,-3.4788390011518118,1.1630771092333987,0.008976660682226212,2810
4/15/2011,-10.400000000000034,-5.159318298698054,-5.159318298698054,-0.4221095292070629,0.02936096718480138,2980
4/22/2011,-25.19999999999999,-1.9862920820563659,-1.9862920820563659,-1.5532436148978093,0.032467532467532464,3180
4/29/2011,-25.200000000000045,3.4046429814026737,3.4046429814026737,-1.5819351176254486,0.0015698587127158557,3190
5/6/2011,-24.049999999999955,7.368251164844992,7.368251164844992,-1.216655544918666,0.001564945226917058,3200
5/13/2011,2.849999999999966,9.581102140470364,9.581102140470364,0.4812594358770923,0.028831562974203338,3390
5/20/2011,13.600000000000023,6.28120992291781,6.28120992291781,1.4318820429404298,0.017533690769453703,3511
5/27/2011,8.449999999999989,1.3708245790198248,1.3708245790198248,1.1731924164713234,0.0,3511
6/3/2011,1.6999999999999886,-1.312847837969798,-1.312847837969798,0.5234470452363382,0.04084141510722579,3810
6/10/2011,-0.3499999999999659,-1.605843961478115,-1.605843961478115,0.12133402481859434,0.0,3810
6/17/2011,-5.400000000000034,-1.0610619949034685,-1.0610619949034685,-0.27606668627046815,0.00651890482398957,3860
6/24/2011,-19.69999999999999,0.2834223311601818,0.2834223311601818,-1.0550735623430967,0.04218362282878412,4200
7/1/2011,-0.6499999999999773,3.6963622751173943,3.6963622751173943,-0.1252609126962625,0.0,4200
7/8/2011,16.299999999999955,3.141398174071128,3.141398174071128,1.0262350647370226,0.0,4200
7/15/2011,-1.1499999999999773,-0.7148952341269705,-0.7148952341269705,0.2939368450196298,0.0,4200
7/22/2011,10.5,-0.9276457241176104,-0.9276457241176104,0.5979600101004792,0.0011890606420927466,4210
7/29/2011,7.899999999999977,-2.4038888977435136,-2.4038888977435136,0.43957495760463416,-0.009592326139088728,4130
8/5/2011,-10.099999999999966,-3.165299794099951,-3.165299794099951,-0.5958555496650604,-0.009779951100244499,4050
8/12/2011,1.75,-0.5537683454594458,-0.5537683454594458,-0.194813591912947,-0.01567398119122257,3925
8/19/2011,-10.650000000000034,-0.22559032219953679,-0.22559032219953679,-0.6555382862047168,-0.007055805003207184,3870
8/26/2011,4.2000000000000455,1.679302789076985,1.679302789076985,0.07985196274870532,-0.006501950585175552,3820
9/2/2011,11.399999999999977,0.7370173779307265,0.7370173779307265,0.6444986448849761,-0.0213903743315508,3660
9/9/2011,-1.8999999999999773,-1.5657026499038693,-1.5657026499038693,0.019992920548872917,-0.028089887640449437,3460
9/16/2011,-11.0,-1.1109217712416921,-1.1109217712416921,-0.626357380861748,-0.01466275659824047,3360
9/23/2011,-11.0,1.1685156322825492,1.1685156322825492,-0.6949909951125903,-0.06497622820919176,2950
9/30/2011,-33.700000000000045,2.992249988775768,2.992249988775768,-1.7115828803652846,-0.02608695652173913,2800
10/7/2011,7.5,7.9154557185993895,7.9154557185993895,0.38575613013190946,-0.04477611940298507,2560
10/14/2011,0.5,4.8475047673701965,4.8475047673701965,0.5878066072546915,-0.06444906444906445,2250
10/21/2011,-28.299999999999955,2.637011353041885,2.637011353041885,-0.9091395710593702,-0.046511627906976744,2050
10/28/2011,13.699999999999989,6.10625866630653,6.10625866630653,0.9236044896582598,-0.044585987261146494,1875
11/4/2011,-37.44999999999999,2.365713663081806,2.365713663081806,-1.2687931900580907,-0.06382978723404255,1650
11/11/2011,-54.950000000000045,7.195384941517091,7.195384941517091,-2.547753855961389,-0.03125,1550
11/18/2011,25.80000000000001,14.760201840750597,14.760201840750597,1.6156087154598993,0.046153846153846156,1700
11/25/2011,-15.649999999999977,6.800937377039304,6.800937377039304,0.4689957437943235,0.04895104895104895,1875
12/2/2011,11.599999999999966,5.815747507407707,5.815747507407707,1.3937127035357548,0.042879019908116385,2043
12/9/2011,9.550000000000011,1.7796333599998775,1.7796333599998775,1.2898852507510412,0.039492242595204514,2211
12/16/2011,-17.05000000000001,-1.077930117901417,-1.077930117901417,-0.32924003523456236,0.03470857891290111,2370
12/23/2011,9.950000000000045,1.6467860084155177,1.6467860084155177,0.600870386016652,0.07782101167315175,2770
12/30/2011,-10.450000000000045,-0.10635664000352563,-0.10635664000352563,-0.26027056481129307,0.02292768959435626,2900
1/6/2012,-0.6499999999999773,1.3785717985945212,1.3785717985945212,0.02344126290256554,0.0,2900
1/13/2012,9.75,1.2748692721626753,1.2748692721626753,0.6238665586361947,-0.008695652173913044,2850
